Tinggi,Gender,Pengukuran,L,M,S
88,P,Height,-0.3833,12.1478,0.08899
88,L,Length,-0.3521,12.2382,0.08082
88,P,Length,-0.3833,11.972,0.08896
88.5,L,Height,-0.3521,12.5298,0.08054
88.5,P,Height,-0.3833,12.2729,0.08901
88.5,L,Length,-0.3521,12.3603,0.08069
88.5,P,Length,-0.3833,12.0976,0.08898
89,L,Height,-0.3521,12.6495,0.08045
89,P,Height,-0.3833,12.3976,0.08904
89,L,Length,-0.3521,12.4815,0.08058
89,P,Length,-0.3833,12.2229,0.089
89.5,L,Height,-0.3521,12.7683,0.08038
89.5,P,Height,-0.3833,12.522,0.08907
89.5,L,Length,-0.3521,12.6017,0.08048
89.5,P,Length,-0.3833,12.3477,0.08903
90,L,Height,-0.3521,12.8864,0.08032
90,P,Height,-0.3833,12.6461,0.08911
90,L,Length,-0.3521,12.7209,0.08041
90,P,Length,-0.3833,12.4723,0.08906
90.5,L,Height,-0.3521,13.0038,0.08028
90.5,P,Height,-0.3833,12.77,0.08915
90.5,L,Length,-0.3521,12.8392,0.08034
90.5,P,Length,-0.3833,12.5965,0.08909
91,L,Height,-0.3521,13.1209,0.08025
91,P,Height,-0.3833,12.8939,0.0892
91,L,Length,-0.3521,12.9569,0.0803
91,P,Length,-0.3833,12.7205,0.08913
91.5,L,Height,-0.3521,13.2376,0.08024
91.5,P,Height,-0.3833,13.0177,0.08925
91.5,L,Length,-0.3521,13.0742,0.08026
91.5,P,Length,-0.3833,12.8443,0.08918
92,L,Height,-0.3521,13.3541,0.08025
92,P,Height,-0.3833,13.1415,0.08931
92,L,Length,-0.3521,13.191,0.08025
92,P,Length,-0.3833,12.9681,0.08923
92.5,L,Height,-0.3521,13.4705,0.08027
92.5,P,Height,-0.3833,13.2654,0.08937
92.5,L,Length,-0.3521,13.3075,0.08025
92.5,P,Length,-0.3833,13.092,0.08928
93,L,Height,-0.3521,13.587,0.08031
93,P,Height,-0.3833,13.3896,0.08944
93,L,Length,-0.3521,13.4239,0.08026
93,P,Length,-0.3833,13.2158,0.08934
93.5,L,Height,-0.3521,13.7041,0.08036
93.5,P,Height,-0.3833,13.5142,0.08951
93.5,L,Length,-0.3521,13.5404,0.08029
93.5,P,Length,-0.3833,13.3399,0.08941
94,L,Height,-0.3521,13.8217,0.08043
94,P,Height,-0.3833,13.6393,0.08959
94,L,Length,-0.3521,13.6572,0.08034
94,P,Length,-0.3833,13.4643,0.08948
94.5,L,Height,-0.3521,13.9403,0.08051
94.5,P,Height,-0.3833,13.765,0.08967
94.5,L,Length,-0.3521,13.7746,0.0804
94.5,P,Length,-0.3833,13.5892,0.08955
95,L,Height,-0.3521,14.06,0.0806
95,P,Height,-0.3833,13.8914,0.08975
95,L,Length,-0.3521,13.8928,0.08047
95,P,Length,-0.3833,13.7146,0.08963
95.5,L,Height,-0.3521,14.1811,0.08071
95.5,P,Height,-0.3833,14.0186,0.08984
95.5,L,Length,-0.3521,14.012,0.08056
95.5,P,Length,-0.3833,13.8408,0.08972
96,L,Height,-0.3521,14.3037,0.08083
96,P,Height,-0.3833,14.1466,0.08994
96,L,Length,-0.3521,14.1325,0.08067
96,P,Length,-0.3833,13.9676,0.08981
96.5,L,Height,-0.3521,14.4282,0.08097
96.5,P,Height,-0.3833,14.2757,0.09004
96.5,L,Length,-0.3521,14.2544,0.08078
96.5,P,Length,-0.3833,14.0953,0.0899
97,L,Height,-0.3521,14.5547,0.08112
97,P,Height,-0.3833,14.4059,0.09015
97,L,Length,-0.3521,14.3782,0.08092
97,P,Length,-0.3833,14.2239,0.09
97.5,L,Height,-0.3521,14.6832,0.08129
97.5,P,Height,-0.3833,14.5376,0.09026
97.5,L,Length,-0.3521,14.5038,0.08106
97.5,P,Length,-0.3833,14.3537,0.0901
98,L,Height,-0.3521,14.814,0.08146
98,P,Height,-0.3833,14.671,0.09037
98,L,Length,-0.3521,14.6316,0.08122
98,P,Length,-0.3833,14.4848,0.09021
98.5,L,Height,-0.3521,14.9468,0.08165
98.5,P,Height,-0.3833,14.8062,0.09049
98.5,L,Length,-0.3521,14.7614,0.08139
98.5,P,Length,-0.3833,14.6174,0.09033
99,L,Height,-0.3521,15.0818,0.08185
99,P,Height,-0.3833,14.9434,0.09062
99,L,Length,-0.3521,14.8934,0.08157
99,P,Length,-0.3833,14.7519,0.09044
99.5,L,Height,-0.3521,15.2187,0.08206
99.5,P,Height,-0.3833,15.0828,0.09075
99.5,L,Length,-0.3521,15.0275,0.08177
99.5,P,Length,-0.3833,14.8882,0.09057
100,L,Height,-0.3521,15.3576,0.08229
100,P,Height,-0.3833,15.2246,0.09088
100,L,Length,-0.3521,15.1637,0.08198
100,P,Length,-0.3833,15.0267,0.09069
100.5,L,Height,-0.3521,15.4985,0.08252
